id,user_id,fleet_data,faction,fleet_name,created_at,updated_at,commander,points,date_added,legends,legacy,old_legacy,arc,shared,numerical_id
,,"Name: 
Faction: Empire
Commander: Moff Jerjerrod (23)

Assault: Advanced Gunnery
Defense: Fire Lanes
Navigation: Hyperspace Migration

Imperial II-class Star Destroyer (120)
• Moff Jerjerrod (23)
• Chimaera (4)
• Expert Shield Tech (5)
• Boarding Troopers (3)
• Early Warning System (7)
• Point Defense Ion Cannons (6)
• Dual Turbolaser Turrets (4)
• Entrapment Formation! (5)
= 177 Points

Imperial II-class Star Destroyer (120)
• Expert Shield Tech (5)
• Boarding Troopers (3)
• Early Warning System (7)
• Point Defense Ion Cannons (6)
• Dual Turbolaser Turrets (4)
= 145 Points

Gozanti-class Cruisers (23)
• Suppressor (4)
• Minister Tua (2)
• Electronic Countermeasures (7)
• Comms Net (2)
= 38 Points

Gozanti-class Cruisers (23)
• Darth Vader (4)
• Comms Net (2)
= 29 Points

Squadrons:
= 0 Points

Total Points: 389",Empire,,,,Moff Jerjerrod,389,,,,,,,1
,,"Name: 
Faction: Separatist
Commander: Mar Tuuk (28)

Assault: Most Wanted
Defense: Asteroid Tactics
Navigation: Infested Fields

Providence-class Carrier (102)
• Mar Tuuk (28)
• Invincible (5)
• Rune Haako (4)
• Thermal Shields (5)
• Early Warning System (7)
• Reserve Hangar Deck (4)
• External Racks (4)
• Point Defense Ion Cannons (6)
• H9 Turbolasers (8)
• Intensify Firepower! (6)
= 179 Points

Recusant-class Light Destroyer (85)
• Patriot Fist (6)
• Tikkes (2)
• Sensor Team (5)
• Reserve Hangar Deck (4)
• External Racks (4)
• Spinal Armament (9)
= 115 Points

Gozanti-class Cruisers {CIS} (24)
= 24 Points

Gozanti-class Cruisers {CIS} (24)
= 24 Points

Squadrons:
• 7 x Vulture-class Droid Fighter Squadron (56)
= 56 Points

Total Points: 398",Separatist,,,,Mar Tuuk,398,,,,,,,2
,,"Name: 
Faction: Rebel
Commander: Admiral Raddus (26)

Assault: Most Wanted
Defense: Capture the VIP
Navigation: Solar Corona

MC75 Armored Cruiser (99)
• Admiral Raddus (26)
• Ahsoka Tano (2)
• Flag Bridge (0)
• Reinforced Blast Doors (5)
• External Racks (4)
• Point Defense Ion Cannons (6)
• Intensify Firepower! (6)
= 148 Points

MC75 Armored Cruiser (99)
• Profundity (7)
• Lando Calrissian (4)
• Boarding Troopers (3)
• Reinforced Blast Doors (5)
• External Racks (4)
• Point Defense Ion Cannons (6)
• Quad Battery Turrets (5)
= 133 Points

CR90 Corvette B (39)
• Hondo Ohnaka (2)
• Overload Pulse (6)
= 47 Points

GR-75 Medium Transports (18)
• Leia Organa (3)
• Comms Net (2)
= 23 Points

Squadrons:
• Shara Bey - A-wing Squadron (17)
• Tycho Celchu - A-wing Squadron (16)
= 33 Points

Total Points: 384",Rebel,,,,Admiral Raddus,384,,,,,,,3
,,"Name: 
Faction: Empire
Commander: Admiral Sloane (24)

Assault: Advanced Gunnery
Defense: Asteroid Tactics
Navigation: Infested Fields

Imperial Star Destroyer Kuat Refit (112)
• Admiral Sloane (24)
• Sovereign (4)
• Admiral Montferrat (5)
• Boarding Troopers (3)
• Electronic Countermeasures (7)
• External Racks (4)
• Leading Shots (5)
= 164 Points

Quasar Fire I-class Cruiser-Carrier (54)
• Squall (7)
• Admiral Chiraneau (10)
• Flight Controllers (6)
• Boosted Comms (4)
= 81 Points

Gozanti-class Cruisers (23)
• Parts Resupply (3)
= 26 Points

Squadrons:
• Black Squadron - TIE Fighter Squadron (9)
• Colonel Jendon - Lambda-class Shuttle (23)
• Darth Vader - TIE Defender Squadron (25)
• Maarek Stele - TIE Defender Squadron (21)
• Mauler Mithel - TIE Fighter Squadron (15)
• Saber Squadron - TIE Interceptor Squadron (12)
• 2 x TIE Advanced Squadron (24)
= 129 Points

Total Points: 400",Empire,,,,Admiral Sloane,400,,,,,,,4
,,"Name: 
Faction: Empire
Commander: General Romodi (28)

Assault: Most Wanted
Defense: Asteroid Tactics
Navigation: Infested Fields

Onager-class Testbed (116)
• General Romodi (28)
• Governor Pryce (6)
• Gunnery Chief Varnillian (6)
• Ordnance Experts (4)
• Orbital Bombardment Particle Cannons (5)
= 165 Points

Victory II-class Star Destroyer (80)
• Harrow (3)
• Minister Tua (2)
• Gunnery Team (7)
• Electronic Countermeasures (7)
• Disposable Capacitors (3)
• Point Defense Ion Cannons (6)
• XI7 Turbolasers (6)
= 114 Points

Gozanti-class Cruisers (23)
• Darth Vader (4)
• Parts Resupply (3)
= 30 Points

Gozanti-class Cruisers (23)
• Comms Net (2)
= 25 Points

Squadrons:
• Captain Jonus - TIE Bomber Squadron (16)
• 5 x TIE Fighter Squadron (40)
= 56 Points

Total Points: 390",Empire,,,,General Romodi,390,,,,,,,5
,,"Name: 
Faction: Rebel
Commander: Admiral Raddus (26)

Assault: Blockade Run
Defense: Rift Ambush
Navigation: Hyperspace Migration

MC80 Command Cruiser (102)
• Admiral Raddus (26)
• Home One (5)
• Expert Shield Tech (5)
• Engine Techs (8)
• Flag Bridge (0)
• Electronic Countermeasures (7)
• Point Defense Ion Cannons (6)
• Intensify Firepower! (6)
= 165 Points

MC75 Ordnance Cruiser (95)
• Profundity (7)
• Walex Blissex (5)
• Ordnance Experts (4)
• Electronic Countermeasures (7)
• Expanded Launchers (8)
• External Racks (4)
= 130 Points

CR90 Corvette B (39)
• Tantive IV (3)
• Hondo Ohnaka (2)
• Projection Experts (6)
= 50 Points

Hammerhead Torpedo Corvette (36)
• Veteran Captain (2)
• Shriv Suurgav (4)
• External Racks (4)
= 46 Points

Squadrons:
= 0 Points

Total Points: 391",Rebel,,,,Admiral Raddus,391,,,,,,,6
,,"Name: 
Faction: Rebel
Commander: Admiral Ackbar (38)

Assault: Most Wanted
Defense: Capture the VIP
Navigation: Volatile Deposits

Assault Frigate Mark II B (72)
• Admiral Ackbar (38)
• Intel Officer (7)
• Caitken and Shollan (6)
• Electronic Countermeasures (7)
• Slaved Turrets (6)
= 136 Points

MC30c Scout Frigate (69)
• Foresight (10)
• Expert Shield Tech (5)
• Ordnance Experts (4)
• External Racks (4)
• H9 Turbolasers (8)
= 100 Points

GR-75 Medium Transports (18)
• Ezra Bridger (3)
• Comms Net (2)
= 23 Points

GR-75 Medium Transports (18)
• Hondo Ohnaka (2)
• Comms Net (2)
= 22 Points

Squadrons:
• A-wing Squadron (11)
• Jan Ors - Moldy Crow (19)
• Lando Calrissian - Millennium Falcon (24)
• Shara Bey - A-wing Squadron (17)
• Tycho Celchu - A-wing Squadron (16)
• 2 x YT-2400 (32)
= 119 Points

Total Points: 400",Rebel,,,,Admiral Ackbar,400,,,,,,,7
,,"Name: 
Faction: Rebel
Commander: Admiral Ackbar (38)

Assault: Advanced Gunnery
Defense: Fire Lanes
Navigation: Intel Sweep

Assault Frigate Mark II B (72)
• Admiral Ackbar (38)
• Gallant Haven (8)
• Intel Officer (7)
• Caitken and Shollan (6)
• Electronic Countermeasures (7)
• XI7 Turbolasers (6)
= 144 Points

CR90 Corvette A (44)
• Jaina's Light (5)
• Turbolaser Reroute Circuits (7)
= 56 Points

GR-75 Medium Transports (18)
• Toryn Farr (7)
• Boosted Comms (4)
• Comms Net (2)
= 31 Points

GR-75 Medium Transports (18)
• Boosted Comms (4)
• Comms Net (2)
= 24 Points

Squadrons:
• A-wing Squadron (11)
• Jan Ors - Moldy Crow (19)
• Lando Calrissian - Millennium Falcon (24)
• Shara Bey - A-wing Squadron (17)
• Tycho Celchu - A-wing Squadron (16)
• VCX-100 Freighter (15)
• 2 x YT-2400 (32)
= 134 Points

Total Points: 389",Rebel,,,,Admiral Ackbar,389,,,,,,,8
,,"Name: 
Faction: Rebel
Commander: Admiral Raddus (26)

Assault: Ion Storm
Defense: Contested Outpost
Navigation: Volatile Deposits

Assault Frigate Mark II B (72)
• Admiral Raddus (26)
• Hondo Ohnaka (2)
= 100 Points

MC75 Armored Cruiser (99)
• Profundity (7)
• Ezra Bridger (3)
• Electronic Countermeasures (7)
• Boarding Troopers (3)
• External Racks (4)
• Point Defense Ion Cannons (6)
• Quad Battery Turrets (5)
= 134 Points

CR90 Corvette B (39)
• Overload Pulse (6)
= 45 Points

GR-75 Medium Transports (18)
• Comms Net (2)
= 20 Points

Squadrons:
• Gold Squadron - Y-Wing Squadron (12)
• Ketsu Onyo - Shadow Caster (22)
• Tycho Celchu - A-wing Squadron (16)
• 3 x YT-2400 (48)
= 98 Points

Total Points: 397",Rebel,,,,Admiral Raddus,397,,,,,,,9
,,"Name: 
Faction: Rebel
Commander: Admiral Raddus (26)

Assault: Most Wanted
Defense: Fighter Ambush
Navigation: Superior Positions

CR90 Corvette B (39)
• Admiral Raddus (26)
• Toryn Farr (7)
• Tantive IV (3)
= 75 Points

MC75 Armored Cruiser (99)
• Profundity (7)
• Hondo Ohnaka (2)
• Ordnance Experts (4)
• Rapid Launch Bays (6)
• Electronic Countermeasures (7)
• External Racks (4)
• Point Defense Ion Cannons (6)
= 135 Points

Hammerhead Torpedo Corvette (36)
• Ezra Bridger (3)
• Ordnance Experts (4)
• External Racks (4)
= 47 Points

Squadrons:
• 2 x B-Wing Squadron (28)
• Gold Squadron - Y-Wing Squadron (12)
• Rogue Squadron - X-wing Squadron (14)
• 5 x YT-2400 (80)
= 134 Points

Total Points: 391",Rebel,,,,Admiral Raddus,391,,,,,,,10
