ship_name,upgrade_name,frequency
GR-75 Medium Transports (18),Adar Tallon (10),2158
GR-75 Medium Transports (18),Boosted Comms (4),4453
GR-75 Medium Transports (18),Ahsoka Tano (2),2550
GR-75 Medium Transports (18),Munitions Resupply (3),1438
GR-75 Medium Transports (18),Bright Hope (2),6389
GR-75 Medium Transports (18),Bomber Command Center (8),3872
GR-75 Medium Transports (18),Major Derlin (7),90
GR-75 Medium Transports (18),Expanded Hangar Bay (5),1077
GR-75 Medium Transports (18),Leia Organa (3),1087
GR-75 Medium Transports (18),Comms Net (2),7797
GR-75 Medium Transports (18),Toryn Farr (7),4564
GR-75 Medium Transports (18),Repair Crews (3),81
GR-75 Medium Transports (18),Parts Resupply (3),2396
GR-75 Medium Transports (18),Quantum Storm (1),991
GR-75 Medium Transports (18),Reserve Hangar Deck (4),46
GR-75 Medium Transports (18),Ezra Bridger (3),608
GR-75 Medium Transports (18),Captain Rex (5),61
GR-75 Medium Transports (18),Slicer Tools (7),991
GR-75 Medium Transports (18),Wedge Antilles (4),356
GR-75 Medium Transports (18),Ray Antilles (7),122
GR-75 Medium Transports (18),Hondo Ohnaka (2),1581
GR-75 Medium Transports (18),Proximity Mines (4),250
GR-75 Medium Transports (18),Sabine Wren (4),139
GR-75 Medium Transports (18),Jamming Field (2),229
GR-75 Medium Transports (18),Repair Crews (4)!,489
GR-75 Medium Transports (18),Flight Commander (3),152
GR-75 Medium Transports (18),Quad Laser Turrets (5),42
GR-75 Medium Transports (18),Rapid Launch Bays (6),161
GR-75 Medium Transports (18),General Draven (3),17
GR-75 Medium Transports (18),Point-Defense Reroute (5),3
GR-75 Medium Transports (18),Veteran Captain (3)!,25
GR-75 Medium Transports (18),Lando Calrissian (4),22
GR-75 Medium Transports (18),Phylon Q7 Tractor Beams (6),40
GR-75 Medium Transports (18),Reserve Hangar Deck (3)!,721
GR-75 Medium Transports (18),Walex Blissex (5),24
GR-75 Medium Transports (18),Engineering Captain (6),3
GR-75 Medium Transports (18),Wing Commander (6),4
GR-75 Medium Transports (18),Flak Guns (3),1
GR-75 Medium Transports (18),Chart Officer (2),14
GR-75 Medium Transports (18),Disposable Capacitors (3),1
GR-75 Medium Transports (18),Skilled First Officer (1),1
GR-75 Medium Transports (18),Advanced Transponder Net (5),8
GR-75 Medium Transports (18),Veteran Captain (2),3
GR-75 Medium Transports (18),Kyrsta Agate (5),1
CR90 Corvette A (44),Ahsoka Tano (2),654
CR90 Corvette A (44),Turbolaser Reroute Circuits (7),12427
CR90 Corvette A (44),Jaina's Light (5),580
CR90 Corvette A (44),Ray Antilles (7),358
CR90 Corvette A (44),Tantive IV (3),760
CR90 Corvette A (44),Liberator (2),427
CR90 Corvette A (44),Entrapment Formation! (5),83
CR90 Corvette A (44),Ezra Bridger (3),1194
CR90 Corvette A (44),Sabine Wren (4),262
CR90 Corvette A (44),"All fighters, Follow Me! (5)",117
CR90 Corvette A (44),Projection Experts (6),193
CR90 Corvette A (44),XX-9 Turbolasers (2),11
CR90 Corvette A (44),Nav Team (4),179
CR90 Corvette A (44),Toryn Farr (7),233
CR90 Corvette A (44),Linked Turbolaser Towers (7),1001
CR90 Corvette A (44),Hondo Ohnaka (2),619
CR90 Corvette A (44),Engine Techs (8),892
CR90 Corvette A (44),General Draven (20),12
CR90 Corvette A (44),Adar Tallon (10),126
CR90 Corvette A (44),Fighter Coordination Team (3),100
CR90 Corvette A (44),Early Warning System (7),146
CR90 Corvette A (44),XI7 Turbolasers (6),33
CR90 Corvette A (44),Redundant Shields (8),104
CR90 Corvette A (44),Intensify Firepower! (6),149
CR90 Corvette A (44),Jaina's Light (2)!,5899
CR90 Corvette A (44),Engineering Team (3),23
CR90 Corvette A (44),Electronic Countermeasures (7),337
CR90 Corvette A (44),Intel Officer (7),408
CR90 Corvette A (44),Lando Calrissian (4),200
CR90 Corvette A (44),Cluster Bombs (5),221
CR90 Corvette A (44),Enhanced Armament (10),271
CR90 Corvette A (44),Heavy Fire Zone (2),14
CR90 Corvette A (44),Veteran Captain (3)!,14
CR90 Corvette A (44),Major Derlin (7),146
CR90 Corvette A (44),Dodonna's Pride (4),36
CR90 Corvette A (44),Auxiliary Shields Team (3),327
CR90 Corvette A (44),Slaved Turrets (6),154
CR90 Corvette A (44),General Dodonna (20),177
CR90 Corvette A (44),Advanced Projectors (6),133
CR90 Corvette A (44),Weapons Liaison (3),5
CR90 Corvette A (44),Reinforced Blast Doors (5),233
CR90 Corvette A (44),Spinal Armament (9),88
CR90 Corvette A (44),Shields to Maximum! (6),43
CR90 Corvette A (44),Medical Team (1),155
CR90 Corvette A (44),Leia Organa (3),221
CR90 Corvette A (44),Dual Turbolaser Turrets (4),32
CR90 Corvette A (44),Wedge Antilles (4),42
CR90 Corvette A (44),Engineering Captain (6),12
CR90 Corvette A (44),Engineering Team (5)!,73
CR90 Corvette A (44),Dual Turbolaser Turrets (5)!,49
CR90 Corvette A (44),H9 Turbolasers (8),24
CR90 Corvette A (44),Expert Shield Tech (5),50
CR90 Corvette A (44),Defense Liaison (3),7
CR90 Corvette A (44),Kyrsta Agate (5),28
CR90 Corvette A (44),Skilled First Officer (1),8
CR90 Corvette A (44),Walex Blissex (5),45
CR90 Corvette A (44),Dodonna's Pride (6)!,181
CR90 Corvette A (44),General Draven (3),41
CR90 Corvette A (44),Reactive Gunnery (4),62
CR90 Corvette A (44),Wing Commander (6),2
CR90 Corvette A (44),Chart Officer (2),30
CR90 Corvette A (44),Kyrsta Agate (20)!,5
CR90 Corvette A (44),Navigation Officer (6),7
CR90 Corvette A (44),Take Evasive Action! (6),18
CR90 Corvette A (44),Tactical Expert (6),7
CR90 Corvette A (44),Captain Rex (5),20
CR90 Corvette A (44),XX-9 Turbolasers (5)!,13
CR90 Corvette A (44),Heavy Fire Zone (4)!,13
CR90 Corvette A (44),Quad Battery Turrets (5),9
CR90 Corvette A (44),Support Officer (4)!,2
CR90 Corvette A (44),Damage Control Officer (5)!,3
CR90 Corvette A (44),Heavy Turbolaser Turrets (6)!,5
CR90 Corvette A (44),Quad Turbolaser Cannons (10),8
CR90 Corvette A (44),DBY-827 Heavy Turbolasers (3),13
CR90 Corvette A (44),Flight Commander (3),3
CR90 Corvette A (44),Veteran Captain (2),2
Starhawk Battleship Mark II (150),Ray Antilles (7),171
Starhawk Battleship Mark II (150),Walex Blissex (5),600
Starhawk Battleship Mark II (150),Caitken and Shollan (6),279
Starhawk Battleship Mark II (150),Phylon Q7 Tractor Beams (6),79
Starhawk Battleship Mark II (150),XX-9 Turbolasers (2),9
Starhawk Battleship Mark II (150),Kyrsta Agate (5),66
Starhawk Battleship Mark II (150),General Draven (3),69
Starhawk Battleship Mark II (150),Ruthless Strategists (4),86
Starhawk Battleship Mark II (150),Boosted Comms (4),35
Starhawk Battleship Mark II (150),SW-7 Ion Batteries (5),51
Starhawk Battleship Mark II (150),Linked Turbolaser Towers (7),620
Starhawk Battleship Mark II (150),Unity (10),944
Starhawk Battleship Mark II (150),Spinal Armament (9),55
Starhawk Battleship Mark II (150),Wedge Antilles (4),7
Starhawk Battleship Mark II (150),Point Defense Ion Cannons (6),30
Starhawk Battleship Mark II (150),Heavy Fire Zone (2),5
Starhawk Battleship Mark II (150),Gunnery Team (7),149
Starhawk Battleship Mark II (150),Reserve Hangar Deck (4),1
Starhawk Battleship Mark II (150),Leading Shots (5),21
Starhawk Battleship Mark II (150),Expert Shield Tech (5),468
Starhawk Battleship Mark II (150),Magnite Crystal Tractor Beam Array (10),278
Starhawk Battleship Mark II (150),Engineering Captain (6),38
Starhawk Battleship Mark II (150),Flag Bridge (0),29
Starhawk Battleship Mark II (150),Heavy Turbolaser Turrets (4),5
Starhawk Battleship Mark II (150),Intensify Firepower! (6),11
Starhawk Battleship Mark II (150),XI7 Turbolasers (6),125
Starhawk Battleship Mark II (150),Local Fire Control (4),222
Starhawk Battleship Mark II (150),Quad Laser Turrets (5),66
Starhawk Battleship Mark II (150),Quad Battery Turrets (5),56
Starhawk Battleship Mark II (150),Flak Guns (3),118
Starhawk Battleship Mark II (150),DBY-827 Heavy Turbolasers (3),83
Starhawk Battleship Mark II (150),Damage Control Officer (3),4
Starhawk Battleship Mark II (150),Point Defense Ion Cannons (4)!,453
Starhawk Battleship Mark II (150),Boarding Troopers (3),71
Starhawk Battleship Mark II (150),Toryn Farr (7),31
Starhawk Battleship Mark II (150),Major Derlin (7),114
Starhawk Battleship Mark II (150),Intel Officer (7),98
Starhawk Battleship Mark II (150),Ezra Bridger (3),56
Starhawk Battleship Mark II (150),High-Capacity Ion Turbines (6),6
Starhawk Battleship Mark II (150),Lando Calrissian (4),50
Starhawk Battleship Mark II (150),High-Capacity Ion Turbines (8)!,68
Starhawk Battleship Mark II (150),Heavy Ion Emplacements (9),61
Starhawk Battleship Mark II (150),Weapons Battery Techs (4),4
Starhawk Battleship Mark II (150),Enhanced Armament (10),20
Starhawk Battleship Mark II (150),General Dodonna (20),63
Starhawk Battleship Mark II (150),Hardened Bulkheads (5),99
Starhawk Battleship Mark II (150),Weapons Battery Techs (5)!,22
Starhawk Battleship Mark II (150),Overload Pulse (8)!,42
Starhawk Battleship Mark II (150),H9 Turbolasers (8),12
Starhawk Battleship Mark II (150),Expanded Hangar Bay (5),88
Starhawk Battleship Mark II (150),Leading Shots (6)!,160
Starhawk Battleship Mark II (150),Support Officer (4)!,11
Starhawk Battleship Mark II (150),Damage Control Officer (5)!,30
Starhawk Battleship Mark II (150),NK-7 Ion Cannons (10)!,21
