faction,squadron_name,total_count
Rebel,Shara Bey (17),7790
Rebel,VCX-100 Freighter (30),1412
Rebel,Corran Horn (22),1073
Rebel,Lando Calrissian (24),522
Rebel,YT-2400 (16),1181
Rebel,Ketsu Onyo (22),2008
Rebel,YT-2400 (32),2600
Rebel,X-wing Squadron (91),266
Rebel,Fenn Rau (24),1728
Rebel,Biggs Darklighter (19),2981
Rebel,X-wing Squadron (26),4542
Rebel,E-wing Squadron (56),56
Rebel,Jan Ors (19),3606
Rebel,Keyan Farlander (18),123
Rebel,Luke Skywalker (20),2171
Rebel,Dutch Vander (16),2204
Rebel,Wedge Antilles (19),3228
Rebel,Y-wing Squadron (10),659
Rebel,Z-95 Headhunter Squadron (7),618
Rebel,X-wing Squadron (52),3980
Rebel,Green Squadron (12),1046
Rebel,A-wing Squadron (11),1372
Rebel,Hera Syndulla (Ghost) (28),1871
Rebel,X-wing Squadron (13),1020
Rebel,Tycho Celchu (16),6452
Rebel,X-wing Squadron (39),5244
Rebel,E-wing Squadron (28),86
Rebel,YT-1300 (13),552
Rebel,Rogue Squadron (14),2425
Rebel,A-wing Squadron (22),3412
Rebel,Gold Squadron (12),3525
Rebel,Z-95 Headhunter Squadron (28),1912
Rebel,Lieutenant Blount (14),712
Rebel,Y-wing Squadron (20),1352
Rebel,A-wing Squadron (33),1608
Rebel,Norra Wexley (17),1614
Rebel,Ten Numb (19),1022
Rebel,B-wing Squadron (42),1335
Rebel,B-wing Squadron (28),1720
Rebel,YT-2400 (80),470
Rebel,Dash Rendar (24),1451
Rebel,Y-wing Squadron (60),204
Rebel,Hera Syndulla (X-wing) (23),2786
Rebel,Lancer Pursuit Craft (105)!,28
Rebel,YT-2400 (48),1923
Rebel,Nym (21),647
Rebel,B-wing Squadron (14),383
Rebel,Z-95 Headhunter Squadron (14),1676
Rebel,Lancer Pursuit Craft (42),57
Rebel,YT-1300 (26),716
Rebel,Han Solo (26),1069
Rebel,Mart Mattin (22),631
Rebel,Lancer Pursuit Craft (14),53
Rebel,Z-95 Headhunter Squadron (21),1545
Rebel,Scurrg H-6 Bomber (16),424
Rebel,B-wing Squadron (84),222
Rebel,Dagger Squadron (15),793
Rebel,A-wing Squadron (44),1544
Rebel,YT-1300 (39),294
Rebel,Kanan Jarrus (19),489
Rebel,VCX-100 Freighter (15),1096
Rebel,YT-2400 (96),390
Rebel,Keyan Farlander (20)!,571
Rebel,B-wing Squadron (56),892
Rebel,E-wing Squadron (42),48
Rebel,YT-2400 (64),1392
Rebel,Scurrg H-6 Bomber (32),1144
Rebel,HWK-290 (12),150
Rebel,E-wing Squadron (84),12
Rebel,Lando Calrissian (23)!,3573
Rebel,Z-95 Headhunter Squadron (119),425
Rebel,A-wing Squadron (55),340
Rebel,Y-wing Squadron (30),720
Rebel,Lancer Pursuit Craft (28),114
Rebel,Malee Hurra (21),82
Rebel,E-wing Squadron (14),20
Rebel,YT-1300 (52),80
Rebel,Lancer Pursuit Craft (56),64
Rebel,Scurrg H-6 Bomber (48),255
Rebel,Y-wing Squadron (90),27
Rebel,Z-95 Headhunter Squadron (42),948
Rebel,Lancer Pursuit Craft (84),6
Rebel,Scurrg H-6 Bomber (64),188
Rebel,Y-wing Squadron (40),704
Rebel,X-wing Squadron (65),1195
Rebel,X-wing Squadron (78),468
Rebel,Y-wing Squadron (50),180
Rebel,E-wing Squadron (30)!,598
Rebel,A-wing Squadron (66),306
Rebel,Z-95 Headhunter Squadron (35),1185
Rebel,Z-95 Headhunter Squadron (49),350
Rebel,Lancer Pursuit Craft (15)!,252
Rebel,E-wing Squadron (70),10
Rebel,Z-95 Headhunter Squadron (56),400
Rebel,Y-wing Squadron (70),140
Rebel,VCX-100 Freighter (60),24
Rebel,Lancer Pursuit Craft (120)!,32
Rebel,Lancer Pursuit Craft (30)!,418
Rebel,E-wing Squadron (15)!,167
Rebel,B-wing Squadron (98),105
Rebel,Malee Hurra (26)!,194
Rebel,Lancer Pursuit Craft (75)!,55
Rebel,Lancer Pursuit Craft (60)!,244
Rebel,Lancer Pursuit Craft (45)!,189
Rebel,YT-1300 (65),45
Rebel,Y-wing Squadron (80),80
Rebel,A-wing Squadron (88),96
Rebel,YT-2400 (112),378
Rebel,HWK-290 (24),32
Rebel,E-wing Squadron (90)!,24
Rebel,VCX-100 Freighter (90),12
Rebel,VCX-100 Freighter (45),51
Rebel,B-wing Squadron (126),18
Rebel,YT-1300 (78),24
Rebel,E-wing Squadron (45)!,276
Rebel,Lancer Pursuit Craft (90)!,42
Rebel,E-wing Squadron (60)!,124
Rebel,Z-95 Headhunter Squadron (77),77
Rebel,YT-2400 (128),104
Rebel,Y-wing Squadron (130),13
Rebel,X-wing Squadron (104),88
Rebel,Z-95 Headhunter Squadron (63),81
Rebel,A-wing Squadron (121),11
Rebel,A-wing Squadron (132),48
Rebel,VCX-100 Freighter (120),16
Rebel,B-wing Squadron (112),88
Rebel,B-wing Squadron (70),230
Rebel,Hera Syndulla (28),54
Rebel,A-wing Squadron (77),63
Rebel,YT-1300 (91),7
Rebel,Scurrg H-6 Bomber (80),40
Rebel,A-wing Squadron (110),50
Rebel,Y-wing Squadron (100),50
Rebel,E-wing Squadron (75)!,110
Rebel,Z-95 Headhunter Squadron (112),48
Rebel,E-wing Squadron (105)!,14
Rebel,X-wing Squadron (117),18
Rebel,X-wing Squadron (130),70
Rebel,Z-95 Headhunter Squadron (126),72
Rebel,Z-95 Headhunter Squadron (70),140
Rebel,Z-95 Headhunter Squadron (84),60
Rebel,Z-95 Headhunter Squadron (91),78
Rebel,Z-95 Headhunter Squadron (133),95
Rebel,Scurrg H-6 Bomber (112),7
Rebel,Hera Syndulla (23),21
Rebel,Z-95 Headhunter Squadron (98),56
Rebel,A-wing Squadron (99),27
Rebel,Y-wing Squadron (120),60
Rebel,HWK-290 (36),3
Rebel,Hera Syndulla (X-Wing) (23),2
Rebel,Z-95 Headhunter Squadron (105),45
Rebel,HWK-290 (48),8
Rebel,Z-95 Headhunter Squadron (168),24
Rebel,Y-wing Squadron (110),22
Rebel,Scurrg H-6 Bomber (128),16
Rebel,Scurrg H-6 Bomber (96),12
Rebel,A-wing Squadron (143),13
Rebel,VCX-100 Freighter (75),10
Separatist,Droid Tri-fighter Squadron (44),1820
