FACTION,COMMANDER,ASSAULT OBJECTIVE,DEFENSE OBJECTIVE,NAVIGATION OBJECTIVE,FLAGSHIP,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #2,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #3,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #4,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #5,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #6,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #7,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #8,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,UPGRADE,SHIP #9,UPGRADE,UPGRADE,SHIP TOTAL,SQUADRON #1,SQUADRON #2,SQUADRON #3,SQUADRON #4,SQUADRON #5,SQUADRON #6,SQUADRON #7,SQUADRON #8,SQUADRON #9,SQUADRON #10,SQUADRON #11,SQUADRON #12,SQUADRON #13,SQUADRON #14,SQUADRON #15,SQUADRON #16,SQUADRON #17,SQUADRON #18,SQUADRON TOTAL,LIST TOTAL,
Empire,Moff Jerjerrod,Advanced Gunnery,Fire Lanes,Hyperspace Migration,ISD 2,Chimera,Expert Shield Tech,Boarding Troopers,"Early Warning
System",Point Defense Ion Cannons,"Dual Turbolaser 
Turrets","Entrapment 
Formation!",,,,,ISD 2,Expert Shield Tech,Boarding Troopers,"Early Warning
System",Point Defense Ion Cannons,"Dual Turbolaser 
Turrets",,,,,"Gozanti
Cruisers",Suppressor,Minister Tua,"Electronic 
Countermeasures",Comms Net,,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,,,,,,,,,,,,,,,,,,,0,389,
Separatist,Mar Tuuk,Most Wanted,Asteroid Tactics,Infested Fields,"Providence-class 
Carrier",Invincible,Rune Haako,Thermal Shields,"Early Warning
System","Reserve
Hangar Deck",External Racks,Point Defense Ion Cannons,H9 Turbolasers,"Intensify
Firepower",,,"Recusant-class 
Light Destroyer",Patriot Fist,Tikkes,Sensor Team,"Reserve
Hangar Deck",External Racks,Spinal Armament,,,,Gozanti (CIS),,,,,,,,Gozanti (CIS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,342,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,Vulture Fighter,,,,,,,,,,,,56,398,
Rebel,Admiral Raddus,Most Wanted,Capture the VIP,Solar Corona,"MC75 Armored
Cruiser",Ahsoka Tano (reb),Flag Bridge,"Reinforced 
Blast Doors",External Racks,Point Defense Ion Cannons,"Intensify
Firepower",,,,,,"MC75 Armored
Cruiser",Profundity,Lando Calrissian,Boarding Troopers,"Reinforced 
Blast Doors",External Racks,Point Defense Ion Cannons,"Quad Battery 
Turrets",,,CR90-B,Hondo Ohnaka,Overload Pulse,,,,,,"GR-75 Medium
Transports","Leia Organa
(Officer)",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351,A-wing (Shara Bey),"A-wing (Tycho 
Celchu)",,,,,,,,,,,,,,,,,33,384,
Empire,Admiral Sloane,Advanced Gunnery,Asteroid Tactics,Infested Fields,ISD Kuat,Sovereign,Admiral Montferrat,Boarding Troopers,"Electronic 
Countermeasures",External Racks,Leading Shots,,,,,,"Quasar
Fire 1",Squall,Admiral Chiraneau,Flight Controllers,Boosted Comms,,,,,,"Gozanti
Cruisers",Parts Resupply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,"Lambda-class Shuttle 
(Colonel Jendon)","TIE Defender 
(Darth Vader)","TIE Defender 
(Maarek Stele)","TIE Fighter 
(Mauler Mithel)","TIE Interceptor 
(Saber Squadron)","TIE Fighter 
(Black Squadron)",TIE Advanced,TIE Advanced,,,,,,,,,,,129,400,
Empire,General Romodi,Most Wanted,Asteroid Tactics,Infested Fields,Onager Testbed,Governor Pryce,"Gunnery Chief 
Varnillian",Ordnance Experts,"Orbital Bombardment
Particle Cannons",,,,,,,,Victory 2,Harrow,Minister Tua,Gunnery Team,"Electronic 
Countermeasures",Disposable Capacitors,Point Defense Ion Cannons,XI7 Turbolasers,,,"Gozanti
Cruisers","Darth Vader 
(Officer)",Parts Resupply,,,,,,"Gozanti
Cruisers",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,"TIE Bomber 
(Captain Jonus)",TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,TIE Fighter,,,,,,,,,,,,,56,390,
Rebel,Admiral Raddus,Blockade Run,Rift Ambush,Hyperspace Migration,"MC80 Command
Cruiser",Home One,Expert Shield Tech,Engine Techs,Flag Bridge,"Electronic 
Countermeasures",Point Defense Ion Cannons,"Intensify
Firepower",,,,,"MC75 Ordnance
Cruiser",Profundity,Walex Blissex,Ordnance Experts,"Electronic 
Countermeasures","Expanded 
Launchers",External Racks,,,,CR90-B,Tantive IV,Hondo Ohnaka,Projection Experts,,,,,"Hammerhead
Torpedo",Veteran Captain,Shriv Suurgav,External Racks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391,,,,,,,,,,,,,,,,,,,0,391,
Rebel,Admiral Ackbar,Most Wanted,Capture the VIP,Volatile Deposits,"Assault Frigate
Mk2B",Intel Officer,"Caitken and 
Shollan","Electronic 
Countermeasures",Slaved Turrets,,,,,,,,"MC30c
Scout",Foresight,Expert Shield Tech,Ordnance Experts,External Racks,H9 Turbolasers,,,,,"GR-75 Medium
Transports",Ezra Bridger,Comms Net,,,,,,"GR-75 Medium
Transports",Hondo Ohnaka,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Moldy Crow 
(Jan Ors)",A-wing,YT-2400,YT-2400,,,,,,,,,,,,119,400,
Rebel,Admiral Ackbar,Advanced Gunnery,Fire Lanes,Intel Sweep,"Assault Frigate
Mk2B",Gallant Haven,Intel Officer,"Caitken and 
Shollan","Electronic 
Countermeasures",XI7 Turbolasers,,,,,,,CR90-A,Jaina's Light,"Turbolaser Reroute 
Circuits",,,,,,,,"GR-75 Medium
Transports",Toryn Farr,Boosted Comms,Comms Net,,,,,"GR-75 Medium
Transports",Boosted Comms,Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255,"Millennium Falcon 
(Lando Calrissian)",A-wing (Shara Bey),"A-wing (Tycho 
Celchu)","Moldy Crow 
(Jan Ors)",A-wing,YT-2400,YT-2400,VCX-100 Freighter,,,,,,,,,,,134,389,
Rebel,Admiral Raddus,Ion Storm,Contested Outpost,Volatile Deposits,"Assault Frigate
Mk2B",Hondo Ohnaka,,,,,,,,,,,"MC75 Armored
Cruiser",Profundity,Ezra Bridger,"Electronic 
Countermeasures",Boarding Troopers,External Racks,Point Defense Ion Cannons,"Quad Battery 
Turrets",,,CR90-B,Overload Pulse,,,,,,,"GR-75 Medium
Transports",Comms Net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,"A-wing (Tycho 
Celchu)","Shadow Caster 
(Ketsu Onyo)","Y-wing (Gold 
Squadron)",YT-2400,YT-2400,YT-2400,,,,,,,,,,,,,98,397,
Rebel,Admiral Raddus,Most Wanted,Fighter Ambush,Superior Positions,CR90-B,Toryn Farr,Tantive IV,,,,,,,,,,"MC75 Armored
Cruiser",Profundity,Hondo Ohnaka,Ordnance Experts,"Rapid Launch 
Bays","Electronic 
Countermeasures",External Racks,Point Defense Ion Cannons,,,"Hammerhead
Torpedo",Ezra Bridger,Ordnance Experts,External Racks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,257,"X-wing (Rogue 
Squadron)","Y-wing (Gold 
Squadron)",B-wing,B-wing,YT-2400,YT-2400,YT-2400,YT-2400,YT-2400,,,,,,,,,,134,391,
